"eventid","venueid","catid","dateid","eventname","starttime"
1544,257,6,2020,"Spamalot","2008-07-13T15:00:00.000Z"
3108,210,7,2020,"A Man For All Seasons","2008-07-13T20:00:00.000Z"
4338,37,9,2020,"Fiction Plane","2008-07-13T19:30:00.000Z"
7792,109,9,2020,"Steely Dan","2008-07-13T15:00:00.000Z"
8120,11,9,2020,"Bette Midler","2008-07-13T19:30:00.000Z"
1149,217,6,2021,"Gypsy","2008-07-14T19:30:00.000Z"
4685,19,9,2021,"Backstreet Boys","2008-07-14T20:00:00.000Z"
5948,111,9,2021,"Serj Tankian","2008-07-14T14:00:00.000Z"
5968,37,9,2021,"Kanye West","2008-07-14T19:30:00.000Z"
2052,243,7,2022,"Spring Awakening","2008-07-15T15:00:00.000Z"
2536,241,7,2022,"The Country Girl","2008-07-15T14:00:00.000Z"
2980,211,7,2022,"November","2008-07-15T14:30:00.000Z"
4182,17,9,2022,"Commodores","2008-07-15T19:30:00.000Z"
494,309,8,2023,"Cavalleria Rusticana and Pagliacci","2008-07-16T19:30:00.000Z"
1134,202,6,2023,"Shrek the Musical","2008-07-16T15:00:00.000Z"
2534,206,7,2023,"Macbeth","2008-07-16T14:00:00.000Z"
2635,223,7,2023,"Rock 'n' Roll","2008-07-16T19:00:00.000Z"
3335,201,7,2023,"Othello","2008-07-16T20:00:00.000Z"
5209,63,9,2023,"The Swell Season","2008-07-16T19:30:00.000Z"
5272,21,9,2023,"Sheryl Crow","2008-07-16T19:30:00.000Z"
6017,2,9,2023,"Kanye West","2008-07-16T19:00:00.000Z"
6771,31,9,2023,"Dj Tiesto","2008-07-16T19:30:00.000Z"
6918,87,9,2023,"Tokyo Police Club","2008-07-16T15:00:00.000Z"
5203,12,9,2024,"Nick Cave","2008-07-17T19:00:00.000Z"
5311,5,9,2024,"Dolly Parton","2008-07-17T15:00:00.000Z"
7123,104,9,2025,"Nick Cave","2008-07-18T14:00:00.000Z"
510,217,6,2026,"Chicago","2008-07-19T19:00:00.000Z"
1084,204,6,2026,"Shrek the Musical","2008-07-19T20:00:00.000Z"
1158,231,6,2026,"A Chorus Line","2008-07-19T19:00:00.000Z"
2364,205,7,2026,"All My Sons","2008-07-19T19:00:00.000Z"
3790,223,7,2026,"Young Frankenstein","2008-07-19T14:00:00.000Z"
4116,76,9,2026,"Nashville Star","2008-07-19T15:00:00.000Z"
5354,3,9,2026,"Marc Anthony","2008-07-19T19:00:00.000Z"
7565,64,9,2026,"Willie Nelson","2008-07-19T15:00:00.000Z"
7683,103,9,2026,"Wynonna","2008-07-19T15:00:00.000Z"
1819,248,7,2027,"Hedda Gabler","2008-07-20T20:00:00.000Z"
3011,249,7,2027,"Glengarry Glen Ross","2008-07-20T19:00:00.000Z"
6089,91,9,2027,"Ween","2008-07-20T19:00:00.000Z"
7969,5,9,2027,"New Kids on the Block","2008-07-20T19:00:00.000Z"
161,300,8,2028,"Siegfried","2008-07-21T14:30:00.000Z"
3647,203,7,2028,"The Homecoming","2008-07-21T20:00:00.000Z"
6572,74,9,2028,"Citizen Cope","2008-07-21T14:00:00.000Z"
7033,123,9,2028,"Rusted Root","2008-07-21T14:00:00.000Z"
418,305,8,2029,"Lucia di Lammermoor","2008-07-22T19:00:00.000Z"
976,239,6,2029,"Spamalot","2008-07-22T19:30:00.000Z"
2844,223,7,2029,"Othello","2008-07-22T19:30:00.000Z"
478,309,8,2030,"The Birds (Die Vogel)","2008-07-23T19:30:00.000Z"
6314,129,9,2030,"Wilco","2008-07-23T19:00:00.000Z"
6939,119,9,2030,"Alkaline Trio","2008-07-23T14:00:00.000Z"
45,302,8,2031,"La Sonnambula","2008-07-24T20:00:00.000Z"
2018,208,7,2031,"The Caucasian Chalk Circle","2008-07-24T20:00:00.000Z"
8602,3,9,2031,"Toad The Wet Sprocket","2008-07-24T15:00:00.000Z"
8646,83,9,2031,"Motorhead","2008-07-24T15:00:00.000Z"
787,200,6,2032,"The King and I","2008-07-25T20:00:00.000Z"
2223,216,7,2032,"The Seagull","2008-07-25T19:00:00.000Z"
4007,84,9,2032,"Mariah Carey","2008-07-25T19:30:00.000Z"
5908,28,9,2032,"Chromeo","2008-07-25T19:00:00.000Z"
6507,15,9,2032,"Teen Choice Awards","2008-07-25T19:30:00.000Z"
2642,217,7,2033,"The Caretaker","2008-07-26T14:30:00.000Z"
5772,9,9,2033,"Marc Anthony","2008-07-26T14:00:00.000Z"
8684,123,9,2033,"Led Zeppelin","2008-07-26T19:30:00.000Z"
1564,254,6,2034,"Le Reve","2008-07-27T15:00:00.000Z"
4964,119,9,2034,"Steven Curtis Chapman","2008-07-27T19:30:00.000Z"
6075,82,9,2034,"Conor Oberst","2008-07-27T15:00:00.000Z"
6413,77,9,2034,"Lionel Richie","2008-07-27T19:30:00.000Z"
7137,3,9,2034,"Janet Jackson","2008-07-27T19:00:00.000Z"
7793,2,9,2034,"Cute Is What We Aim For","2008-07-27T14:00:00.000Z"
219,307,8,2035,"La Gioconda","2008-07-28T19:30:00.000Z"
1975,224,7,2035,"As You Like It","2008-07-28T19:30:00.000Z"
8405,123,9,2035,"Linda Ronstadt","2008-07-28T15:00:00.000Z"
558,234,6,2036,"Grease","2008-07-29T20:00:00.000Z"
2198,212,7,2036,"A Bronx Tale","2008-07-29T19:30:00.000Z"
3603,237,7,2036,"The Seafarer","2008-07-29T19:30:00.000Z"
7386,39,9,2036,"Rod Stewart","2008-07-29T14:00:00.000Z"
8399,5,9,2036,"Decemberists","2008-07-29T19:00:00.000Z"
2598,235,7,2037,"Woyzeck","2008-07-30T14:30:00.000Z"
4690,56,9,2037,"Brian McKnight","2008-07-30T15:00:00.000Z"
4852,129,9,2037,"Mark Knopfler","2008-07-30T19:00:00.000Z"
5588,81,9,2037,"Chromeo","2008-07-30T19:30:00.000Z"
7530,72,9,2037,"Pat Benatar","2008-07-30T19:30:00.000Z"
5256,43,9,2038,"Greg Kihn Band","2008-07-31T15:00:00.000Z"
6170,59,9,2038,"Smash Mouth","2008-07-31T19:00:00.000Z"
7393,83,9,2038,"Steely Dan","2008-07-31T15:00:00.000Z"
967,223,6,2039,"A Chorus Line","2008-08-01T19:00:00.000Z"
3823,96,9,2039,"Chromeo","2008-08-01T20:00:00.000Z"
667,223,6,2040,"Grease","2008-08-02T20:00:00.000Z"
2955,214,7,2040,"August: Osage County","2008-08-02T14:00:00.000Z"
6552,50,9,2040,"Janet Jackson","2008-08-02T15:00:00.000Z"
6914,86,9,2040,"Stray Cats","2008-08-02T15:00:00.000Z"
8070,42,9,2040,"Bootsy Collins","2008-08-02T15:00:00.000Z"
2777,233,7,2041,"A Tale of Two Cities","2008-08-03T20:00:00.000Z"
3935,116,9,2041,"Los Lonely Boys","2008-08-03T15:00:00.000Z"
4261,102,9,2041,"Live","2008-08-03T14:00:00.000Z"
4713,16,9,2041,"Tom Jones","2008-08-03T19:00:00.000Z"
6822,104,9,2041,"Ani DiFranco","2008-08-03T15:00:00.000Z"
2022,242,7,2042,"As You Like It","2008-08-04T14:00:00.000Z"
3041,229,7,2042,"Cirque du Soleil","2008-08-04T15:00:00.000Z"
7161,34,9,2042,"Burt Bacharach","2008-08-04T14:00:00.000Z"
8736,77,9,2042,"Stephenie Meyer","2008-08-04T14:00:00.000Z"
371,307,8,2043,"Il Trovatore","2008-08-05T14:30:00.000Z"
544,222,6,2043,"Shrek the Musical","2008-08-05T15:00:00.000Z"
2476,203,7,2044,"Rhinoceros","2008-08-06T14:00:00.000Z"
2757,247,7,2044,"Macbeth","2008-08-06T15:00:00.000Z"
4678,93,9,2044,"The Black Keys","2008-08-06T14:30:00.000Z"
2311,211,7,2045,"Avenue Q","2008-08-07T14:00:00.000Z"
3529,223,7,2045,"November","2008-08-07T20:00:00.000Z"
4170,72,9,2045,"Vampire Weekend","2008-08-07T19:00:00.000Z"
4207,42,9,2045,"Phil Vassar","2008-08-07T20:00:00.000Z"
5905,77,9,2045,"Broken Social Scene","2008-08-07T19:30:00.000Z"
2547,243,7,2046,"The Seagull","2008-08-08T14:00:00.000Z"
4320,103,9,2046,"Extreme","2008-08-08T19:30:00.000Z"
8155,9,9,2046,"Vampire Weekend","2008-08-08T15:00:00.000Z"
77,305,8,2047,"Die Walkure","2008-08-09T15:00:00.000Z"
160,306,8,2047,"Siegfried","2008-08-09T19:30:00.000Z"
221,302,8,2047,"The Queen of Spades","2008-08-09T14:00:00.000Z"
4097,97,9,2047,"Danny Nova","2008-08-09T20:00:00.000Z"
4427,55,9,2047,"Rick Braun","2008-08-09T14:00:00.000Z"
5426,75,9,2047,"Little Big Town","2008-08-09T14:00:00.000Z"
617,208,6,2048,"Pal Joey","2008-08-10T20:00:00.000Z"
2033,209,7,2048,"A Doll's House","2008-08-10T19:30:00.000Z"
6503,112,9,2048,"Kiss","2008-08-10T14:00:00.000Z"
119,300,8,2049,"La Rondine","2008-08-11T14:00:00.000Z"
4246,130,9,2049,"Bo Bice","2008-08-11T14:30:00.000Z"
8371,2,9,2049,"Ray Davies","2008-08-11T19:00:00.000Z"
156,307,8,2050,"La Damnation de Faust","2008-08-12T19:30:00.000Z"
442,309,8,2050,"Rusalka","2008-08-12T14:00:00.000Z"
4129,46,9,2050,"Indigo Girls","2008-08-12T19:00:00.000Z"
5712,6,9,2050,"Ringo Starr","2008-08-12T14:00:00.000Z"
5771,93,9,2050,"Killers","2008-08-12T19:00:00.000Z"
7069,53,9,2050,"Sevendust","2008-08-12T14:00:00.000Z"
20,303,8,2051,"Boris Godunov","2008-08-13T19:30:00.000Z"
1955,224,7,2051,"Wicked","2008-08-13T20:00:00.000Z"
3962,8,9,2051,"Los Temerarios","2008-08-13T14:30:00.000Z"
5029,100,9,2051,"Vans Warped Tour","2008-08-13T14:00:00.000Z"
6051,15,9,2051,"Sheryl Crow","2008-08-13T14:00:00.000Z"
6737,84,9,2051,"Seal","2008-08-13T15:00:00.000Z"
8324,126,9,2051,"Charlie Daniels Band","2008-08-13T14:00:00.000Z"
843,248,6,2052,"Mamma Mia!","2008-08-14T14:00:00.000Z"
1280,245,6,2052,"West Side Story","2008-08-14T14:00:00.000Z"
3536,230,7,2052,"All My Sons","2008-08-14T14:00:00.000Z"
3819,24,9,2052,"The Raconteurs","2008-08-14T14:30:00.000Z"
4640,60,9,2052,"Santana","2008-08-14T14:30:00.000Z"
5700,16,9,2052,"Iron and Wine","2008-08-14T19:30:00.000Z"
6629,84,9,2052,"Smokey Robinson","2008-08-14T19:30:00.000Z"
6831,124,9,2052,"Melissa Etheridge","2008-08-14T14:00:00.000Z"
7494,130,9,2052,"Pepe Aguilar","2008-08-14T19:00:00.000Z"
549,218,6,2053,"A Chorus Line","2008-08-15T19:00:00.000Z"
4352,23,9,2053,"Wilco","2008-08-15T14:00:00.000Z"
4451,70,9,2053,"Garth Brooks","2008-08-15T20:00:00.000Z"
5853,117,9,2053,"Black Crowes","2008-08-15T14:00:00.000Z"
7871,54,9,2053,"Smashing Pumpkins","2008-08-15T19:00:00.000Z"
1218,220,6,2054,"Kiss Me Kate","2008-08-16T20:00:00.000Z"
2191,211,7,2054,"Uncle Vanya","2008-08-16T14:30:00.000Z"
4961,130,9,2054,"Gnarls Barkley","2008-08-16T19:30:00.000Z"
5594,120,9,2054,"Rolling Stones","2008-08-16T14:00:00.000Z"
8112,111,9,2054,"Third Day","2008-08-16T19:00:00.000Z"
126,300,8,2056,"The Birds (Die Vogel)","2008-08-18T20:00:00.000Z"
2704,205,7,2056,"Miss Julie","2008-08-18T19:00:00.000Z"
2998,247,7,2056,"Avenue Q","2008-08-18T19:00:00.000Z"
4229,100,9,2056,"Bullet for My Valentine","2008-08-18T19:00:00.000Z"
7025,28,9,2056,"Rodrigo y Gabriela","2008-08-18T19:30:00.000Z"
8156,56,9,2056,"Manhattan Transfer","2008-08-18T15:00:00.000Z"
270,307,8,2057,"La Gioconda","2008-08-19T20:00:00.000Z"
2391,230,7,2057,"Glengarry Glen Ross","2008-08-19T15:00:00.000Z"
850,247,6,2058,"Legally Blonde","2008-08-20T15:00:00.000Z"
3389,222,7,2058,"Woyzeck","2008-08-20T19:00:00.000Z"
7491,69,9,2058,"Wilco","2008-08-20T15:00:00.000Z"
2093,246,7,2059,"A Tale of Two Cities","2008-08-21T20:00:00.000Z"
2437,221,7,2059,"The Caretaker","2008-08-21T19:00:00.000Z"
2514,230,7,2059,"Iphigenia","2008-08-21T14:30:00.000Z"
5711,77,9,2059,"The Guess Who","2008-08-21T19:00:00.000Z"
5858,121,9,2059,"Zucchero","2008-08-21T19:30:00.000Z"
6765,14,9,2059,"Hot Tuna","2008-08-21T19:30:00.000Z"
7929,106,9,2059,"Sarah Brightman","2008-08-21T14:00:00.000Z"
8045,2,9,2059,"3 Doors Down","2008-08-21T15:00:00.000Z"
8555,88,9,2059,"John Fogerty","2008-08-21T15:00:00.000Z"
6216,59,9,2060,"Children of Bodom","2008-08-22T19:00:00.000Z"
8733,64,9,2060,"Dave Koz","2008-08-22T19:30:00.000Z"
1200,210,6,2061,"Oliver!","2008-08-23T15:00:00.000Z"
4162,13,9,2061,"Killers","2008-08-23T19:00:00.000Z"
5183,102,9,2061,"Motley Crue","2008-08-23T15:00:00.000Z"
2015,216,7,2062,"Thurgood","2008-08-24T15:00:00.000Z"
820,208,6,2063,"West Side Story","2008-08-25T15:00:00.000Z"
2372,237,7,2063,"The Cherry Orchard","2008-08-25T14:30:00.000Z"
6168,90,9,2063,"Little Big Town","2008-08-25T19:00:00.000Z"
1089,215,6,2064,"South Pacific","2008-08-26T19:30:00.000Z"
2632,230,7,2064,"November","2008-08-26T20:00:00.000Z"
7521,37,9,2064,"George Jones","2008-08-26T14:00:00.000Z"
8122,93,9,2064,"Alkaline Trio","2008-08-26T15:00:00.000Z"
8336,119,9,2064,"Scorpions","2008-08-26T19:30:00.000Z"
1472,213,6,2065,"Mamma Mia!","2008-08-27T14:00:00.000Z"
7107,46,9,2065,"Keith Urban","2008-08-27T15:00:00.000Z"
1226,240,6,2066,"Hairspray","2008-08-28T14:00:00.000Z"
1760,263,6,2066,"Le Reve","2008-08-28T19:00:00.000Z"
2828,238,7,2066,"Wicked","2008-08-28T14:30:00.000Z"
7498,106,9,2066,"Gogol Bordello","2008-08-28T14:00:00.000Z"
8310,113,9,2066,"Ani DiFranco","2008-08-28T19:00:00.000Z"
128,303,8,2067,"Rusalka","2008-08-29T14:30:00.000Z"
528,214,6,2067,"Dirty Dancing","2008-08-29T19:00:00.000Z"
1823,216,7,2067,"A Bronx Tale","2008-08-29T20:00:00.000Z"
5505,31,9,2067,"Carrie Underwood","2008-08-29T14:00:00.000Z"
1061,242,6,2068,"Mamma Mia!","2008-08-30T15:00:00.000Z"
7852,23,9,2068,"Temptations","2008-08-30T19:00:00.000Z"
1869,213,7,2069,"The Seagull","2008-08-31T19:00:00.000Z"
5221,63,9,2069,"Kenny Wayne Shepherd","2008-08-31T19:00:00.000Z"
5429,16,9,2069,"Smashing Pumpkins","2008-08-31T19:00:00.000Z"
7952,63,9,2069,"Celtic Thunder","2008-08-31T15:00:00.000Z"
8751,71,9,2069,"Wisin y Yandel","2008-08-31T14:00:00.000Z"
201,308,8,2070,"Doctor Atomic","2008-09-01T19:30:00.000Z"
1761,260,6,2070,"Spamalot","2008-09-01T14:30:00.000Z"
1117,245,6,2071,"A Chorus Line","2008-09-02T14:00:00.000Z"
2010,212,7,2071,"The Bacchae","2008-09-02T14:00:00.000Z"
5128,61,9,2071,"Killers","2008-09-02T14:00:00.000Z"
7729,83,9,2071,"Chromeo","2008-09-02T14:00:00.000Z"
8781,130,9,2071,"Extreme","2008-09-02T15:00:00.000Z"
1986,231,7,2072,"Avenue Q","2008-09-03T19:30:00.000Z"
2165,207,7,2072,"Uncle Vanya","2008-09-03T14:00:00.000Z"
5659,48,9,2072,"Good Charlotte","2008-09-03T15:00:00.000Z"
7281,87,9,2072,"Gnarls Barkley","2008-09-03T15:00:00.000Z"
876,219,6,2073,"Gypsy","2008-09-04T14:30:00.000Z"
3835,74,9,2073,"LeAnn Rimes","2008-09-04T14:30:00.000Z"
3885,30,9,2073,"George Thorogood and the Destroyers","2008-09-04T19:00:00.000Z"
7296,28,9,2073,"Loretta Lynn","2008-09-04T14:00:00.000Z"
7931,44,9,2073,"LeAnn Rimes","2008-09-04T14:00:00.000Z"
1799,258,6,2074,"O - Cirque du Soleil","2008-09-05T20:00:00.000Z"
3743,220,7,2074,"August: Osage County","2008-09-05T19:30:00.000Z"
2829,222,7,2075,"Thurgood","2008-09-06T14:00:00.000Z"
5939,102,9,2075,"Sweet Honey in the Rock","2008-09-06T15:00:00.000Z"
6434,89,9,2075,"Cold War Kids","2008-09-06T14:00:00.000Z"
6480,1,9,2075,"Extreme","2008-09-06T19:30:00.000Z"
8441,39,9,2075,"Joanna Newsom","2008-09-06T14:00:00.000Z"
7659,121,9,2076,"Pat Benatar","2008-09-07T14:00:00.000Z"
4263,62,9,2077,"Bamboozle Left","2008-09-08T20:00:00.000Z"
4990,40,9,2077,"Jesse McCartney","2008-09-08T15:00:00.000Z"
6821,124,9,2077,"Toby Keith","2008-09-08T19:00:00.000Z"
7738,94,9,2077,"Weird Al Yankovic","2008-09-08T19:30:00.000Z"
3679,245,7,2078,"Glengarry Glen Ross","2008-09-09T15:00:00.000Z"
4998,70,9,2078,"Tower of Power","2008-09-09T15:00:00.000Z"
1505,252,6,2079,"Blue Man Group","2008-09-10T15:00:00.000Z"
2356,203,7,2079,"The Seagull","2008-09-10T19:30:00.000Z"
3172,236,7,2079,"Spring Awakening","2008-09-10T15:00:00.000Z"
7687,122,9,2079,"John Mellencamp","2008-09-10T15:00:00.000Z"
4098,122,9,2080,"Jesse McCartney","2008-09-11T15:00:00.000Z"
5401,116,9,2080,"Queensryche","2008-09-11T15:00:00.000Z"
6460,57,9,2080,"Hootie and the Blowfish","2008-09-11T19:30:00.000Z"
7585,103,9,2080,"Missy Higgins","2008-09-11T15:00:00.000Z"
8170,63,9,2080,"Live","2008-09-11T19:30:00.000Z"
1120,207,6,2081,"West Side Story","2008-09-12T19:30:00.000Z"
1631,253,6,2081,"Spamalot","2008-09-12T19:30:00.000Z"
4616,105,9,2081,"Brian Jonestown Massacre","2008-09-12T20:00:00.000Z"
6907,27,9,2081,"Wolf Parade","2008-09-12T19:30:00.000Z"
7102,125,9,2081,"Doobie Brothers","2008-09-12T19:30:00.000Z"
8648,70,9,2081,"Sigur Ros","2008-09-12T19:00:00.000Z"
1650,260,6,2082,"Legally Blonde","2008-09-13T15:00:00.000Z"
2252,242,7,2082,"The Tempest","2008-09-13T14:00:00.000Z"
2940,213,7,2082,"King Lear","2008-09-13T14:00:00.000Z"
6366,118,9,2082,"Rock The Bayou","2008-09-13T14:00:00.000Z"
2389,239,7,2083,"Electra","2008-09-14T19:00:00.000Z"
3583,242,7,2083,"Woyzeck","2008-09-14T19:30:00.000Z"
5483,17,9,2083,"Nine Inch Nails","2008-09-14T15:00:00.000Z"
6063,74,9,2083,"Gordon Lightfoot","2008-09-14T15:00:00.000Z"
7037,66,9,2083,"Tokyo Police Club","2008-09-14T14:00:00.000Z"
8714,71,9,2083,"Dolly Parton","2008-09-14T19:00:00.000Z"
3457,214,7,2084,"All My Sons","2008-09-15T20:00:00.000Z"
5533,1,9,2084,"Keith Urban","2008-09-15T19:00:00.000Z"
6661,60,9,2084,"Black Crowes","2008-09-15T14:00:00.000Z"
7043,62,9,2084,"Chromeo","2008-09-15T14:00:00.000Z"
7302,130,9,2084,"Tom Petty and the Heartbreakers","2008-09-15T14:00:00.000Z"
8615,34,9,2084,"Robert Plant and Alison Krauss","2008-09-15T19:30:00.000Z"
1146,213,6,2085,"Memphis - The Birth of Rock n Roll","2008-09-16T14:00:00.000Z"
1814,212,7,2085,"Thurgood","2008-09-16T19:30:00.000Z"
4112,17,9,2085,"Fergie","2008-09-16T14:30:00.000Z"
4137,126,9,2085,"My Morning Jacket","2008-09-16T20:00:00.000Z"
7203,84,9,2085,"Cake","2008-09-16T19:00:00.000Z"
8055,108,9,2085,"Decemberists","2008-09-16T15:00:00.000Z"
8218,90,9,2085,"Joan Baez","2008-09-16T19:00:00.000Z"
2001,243,7,2086,"November","2008-09-17T15:00:00.000Z"
8342,11,9,2086,"Seal","2008-09-17T15:00:00.000Z"
1420,212,6,2087,"Les Miserables","2008-09-18T19:30:00.000Z"
4138,78,9,2087,"Foo Fighters","2008-09-18T14:00:00.000Z"
5882,113,9,2087,"Linkin Park","2008-09-18T19:00:00.000Z"
1570,260,6,2088,"Blue Man Group","2008-09-19T20:00:00.000Z"
3060,218,7,2088,"A Doll's House","2008-09-19T19:00:00.000Z"
3839,83,9,2088,"Goo Goo Dolls","2008-09-19T19:30:00.000Z"
7291,127,9,2088,"Coheed and Cambria","2008-09-19T14:00:00.000Z"
7401,28,9,2088,"Dennis DeYoung","2008-09-19T19:00:00.000Z"
8164,68,9,2088,"Steely Dan","2008-09-19T14:00:00.000Z"
8442,12,9,2088,"Santana","2008-09-19T15:00:00.000Z"
1283,226,6,2089,"Dirty Dancing","2008-09-20T14:30:00.000Z"
4494,104,9,2089,"Hot Chip","2008-09-20T14:00:00.000Z"
1921,240,7,2090,"The Glass Menagerie","2008-09-21T14:00:00.000Z"
2712,241,7,2090,"Julius Caesar","2008-09-21T20:00:00.000Z"
3078,226,7,2091,"Rhinoceros","2008-09-22T20:00:00.000Z"
3485,226,7,2091,"Spring Awakening","2008-09-22T14:30:00.000Z"
6751,104,9,2091,"Missy Higgins","2008-09-22T19:30:00.000Z"
6798,11,9,2091,"Justin Timberlake","2008-09-22T14:00:00.000Z"
861,238,6,2092,"Gypsy","2008-09-23T19:30:00.000Z"
2706,205,7,2092,"Rhinoceros","2008-09-23T20:00:00.000Z"
3702,234,7,2092,"A Streetcar Named Desire","2008-09-23T14:00:00.000Z"
7816,97,9,2092,"Green Day","2008-09-23T14:00:00.000Z"
8126,20,9,2092,"Robert Cray Band","2008-09-23T15:00:00.000Z"
2689,231,7,2093,"The Seagull","2008-09-24T19:00:00.000Z"
5159,122,9,2093,"Sara Evans","2008-09-24T19:30:00.000Z"
7268,115,9,2093,"Montgomery Gentry","2008-09-24T14:00:00.000Z"
2953,200,7,2094,"Glengarry Glen Ross","2008-09-25T19:00:00.000Z"
4104,43,9,2094,"George Clinton","2008-09-25T19:00:00.000Z"
4234,65,9,2094,"Zappa Plays Zappa","2008-09-25T20:00:00.000Z"
4356,1,9,2094,"Umphreys McGee","2008-09-25T19:30:00.000Z"
6408,121,9,2095,"Decemberists","2008-09-26T19:30:00.000Z"
2068,209,7,2096,"Spring Awakening","2008-09-27T14:00:00.000Z"
2226,213,7,2096,"Thurgood","2008-09-27T14:00:00.000Z"
4733,14,9,2096,"John Prine","2008-09-27T20:00:00.000Z"
6927,87,9,2096,"Gordon Lightfoot","2008-09-27T19:00:00.000Z"
8483,60,9,2096,"Fleet Foxes","2008-09-27T14:00:00.000Z"
701,230,6,2097,"West Side Story","2008-09-28T15:00:00.000Z"
879,244,6,2097,"Gypsy","2008-09-28T19:30:00.000Z"
1304,207,6,2097,"The Phantom of the Opera","2008-09-28T19:00:00.000Z"
4693,25,9,2097,"Randy Travis","2008-09-28T19:00:00.000Z"
7508,10,9,2097,"Bad Company","2008-09-28T14:00:00.000Z"
7873,83,9,2097,"Cowboy Junkies","2008-09-28T19:00:00.000Z"
8152,15,9,2097,"Goo Goo Dolls","2008-09-28T14:00:00.000Z"
3032,235,7,2098,"Iphigenia","2008-09-29T14:30:00.000Z"
4447,87,9,2098,"Squeeze","2008-09-29T14:30:00.000Z"
2293,230,7,2099,"Iphigenia","2008-09-30T14:30:00.000Z"
8402,73,9,2099,"UB40","2008-09-30T19:30:00.000Z"
70,304,8,2100,"The Fly","2008-10-01T14:00:00.000Z"
3448,240,7,2100,"Glengarry Glen Ross","2008-10-01T20:00:00.000Z"
3799,234,7,2100,"Oedipus the King","2008-10-01T20:00:00.000Z"
4062,70,9,2100,"Black Crowes","2008-10-01T14:00:00.000Z"
4975,20,9,2100,"Voodoo Music Experience","2008-10-01T19:00:00.000Z"
6638,9,9,2100,"Jonas Brothers","2008-10-01T19:00:00.000Z"
6990,12,9,2100,"Jimmy Buffett","2008-10-01T15:00:00.000Z"
7700,56,9,2100,"Bette Midler","2008-10-01T15:00:00.000Z"
8061,130,9,2100,"Jesse Lacey","2008-10-01T19:30:00.000Z"
481,303,8,2101,"Doctor Atomic","2008-10-02T14:30:00.000Z"
1386,227,6,2101,"Jersey Boys","2008-10-02T19:00:00.000Z"
1861,206,7,2102,"August: Osage County","2008-10-03T15:00:00.000Z"
2827,204,7,2102,"To Be or Not To Be","2008-10-03T20:00:00.000Z"
3692,221,7,2102,"Thurgood","2008-10-03T14:00:00.000Z"
4737,67,9,2102,"Gnarls Barkley","2008-10-03T19:00:00.000Z"
5356,1,9,2102,"B.B. King","2008-10-03T15:00:00.000Z"
5628,129,9,2102,"Chris Botti","2008-10-03T19:30:00.000Z"
260,305,8,2103,"Adriana Lecouvreur","2008-10-04T14:00:00.000Z"
4591,65,9,2103,"Rusted Root","2008-10-04T19:00:00.000Z"
6327,70,9,2103,"Gnarls Barkley","2008-10-04T19:00:00.000Z"
8627,88,9,2103,"LeAnn Rimes","2008-10-04T19:30:00.000Z"
1252,218,6,2104,"High Society","2008-10-05T14:30:00.000Z"
1527,263,6,2104,"Folies Bergere","2008-10-05T14:00:00.000Z"
1998,238,7,2104,"Thurgood","2008-10-05T14:00:00.000Z"
2415,227,7,2104,"Hamlet","2008-10-05T19:30:00.000Z"
3804,117,9,2104,"Crue Fest","2008-10-05T20:00:00.000Z"
5603,39,9,2104,"Bette Midler","2008-10-05T15:00:00.000Z"
6621,25,9,2104,"The Raconteurs","2008-10-05T19:30:00.000Z"
4684,114,9,2105,"Lollapalooza","2008-10-06T14:00:00.000Z"
4749,32,9,2105,"Frankie Valli","2008-10-06T19:00:00.000Z"
4772,78,9,2105,"Aimee Mann","2008-10-06T14:30:00.000Z"
6547,38,9,2105,"Coheed and Cambria","2008-10-06T19:00:00.000Z"
7135,108,9,2105,"Phil Vassar","2008-10-06T19:00:00.000Z"
1389,205,6,2106,"Gypsy","2008-10-07T14:30:00.000Z"
2367,208,7,2106,"Thurgood","2008-10-07T14:30:00.000Z"
7173,127,9,2106,"Jim Brickman","2008-10-07T15:00:00.000Z"
4054,109,9,2107,"Toad The Wet Sprocket","2008-10-08T19:30:00.000Z"
4081,96,9,2107,"Madonna","2008-10-08T15:00:00.000Z"
703,215,6,2108,"Mary Poppins","2008-10-09T14:30:00.000Z"
1895,209,7,2108,"A Doll's House","2008-10-09T15:00:00.000Z"
3052,239,7,2108,"Woyzeck","2008-10-09T19:00:00.000Z"
6766,109,9,2108,"Jimmy Buffett","2008-10-09T19:30:00.000Z"
7870,76,9,2108,"Toad The Wet Sprocket","2008-10-09T14:00:00.000Z"
8522,11,9,2108,"Nas","2008-10-09T19:00:00.000Z"
1017,200,6,2109,"Memphis - The Birth of Rock n Roll","2008-10-10T14:30:00.000Z"
3092,205,7,2109,"The Caretaker","2008-10-10T14:00:00.000Z"
4851,12,9,2109,"G. Love and Special Sauce","2008-10-10T19:00:00.000Z"
3486,225,7,2110,"Endgame","2008-10-11T14:30:00.000Z"
4897,7,9,2110,"Queensryche","2008-10-11T14:00:00.000Z"
5205,124,9,2110,"Feist","2008-10-11T15:00:00.000Z"
283,304,8,2111,"Gotterdammerung","2008-10-12T14:30:00.000Z"
286,308,8,2111,"Rusalka","2008-10-12T14:00:00.000Z"
3445,247,7,2111,"August: Osage County","2008-10-12T15:00:00.000Z"
3720,203,7,2111,"Hedda Gabler","2008-10-12T14:00:00.000Z"
7620,125,9,2111,"Black Eyed Peas","2008-10-12T19:30:00.000Z"
