"salesid","listid","sellerid","buyerid","eventid","dateid","qtysold","pricepaid","commission","saletime"
148694,172247,39154,4709,566,1852,2,660,99,"2008-01-26T07:12:34.000"
150383,174059,10440,7578,8700,1852,2,938,140.7,"2008-01-26T04:58:18.000"
150502,174195,15135,20667,1104,1852,2,90,13.5,"2008-01-26T07:22:02.000"
159195,209880,34397,6497,3698,1852,4,7480,1122,"2008-01-26T04:39:21.000"
160295,212356,19761,632,5479,1852,2,1704,255.6,"2008-01-26T02:38:56.000"
167164,225386,31389,20876,4643,1852,2,700,105,"2008-01-26T01:16:38.000"
170390,231572,44975,18573,955,1852,1,2079,311.85,"2008-01-26T01:09:37.000"
171813,234312,37067,16283,3717,1852,2,2264,339.6,"2008-01-26T02:03:40.000"
1923,2067,27144,21128,6977,1853,4,988,148.2,"2008-01-27T01:10:47.000"
4790,5163,37578,20444,6510,1853,1,163,24.45,"2008-01-27T09:25:05.000"
4445,4790,29547,1552,4078,1853,2,366,54.9,"2008-01-27T09:01:07.000"
6831,7415,33694,1592,8250,1853,5,1215,182.25,"2008-01-27T07:37:30.000"
7679,8302,7214,5072,1237,1853,1,153,22.95,"2008-01-27T09:45:56.000"
8060,8674,18977,17842,281,1853,4,208,31.2,"2008-01-27T09:45:42.000"
9057,9776,15791,2433,980,1853,2,498,74.7,"2008-01-27T12:51:16.000"
17089,18489,34882,7286,7057,1853,3,591,88.65,"2008-01-27T06:18:19.000"
22014,23918,967,18605,42,1853,3,192,28.8,"2008-01-27T03:22:31.000"
19254,20822,47395,9104,2121,1853,1,140,21,"2008-01-27T11:25:35.000"
23893,26135,29688,14700,2023,1853,1,78,11.7,"2008-01-27T01:43:41.000"
19583,21217,8986,14079,4221,1853,1,86,12.9,"2008-01-27T05:58:38.000"
27236,29706,35432,11555,6863,1853,1,201,30.15,"2008-01-27T06:39:51.000"
21085,22953,17557,14258,5346,1853,1,99,14.85,"2008-01-27T09:28:08.000"
32331,35769,44505,12559,6604,1853,4,940,141,"2008-01-27T06:51:52.000"
23477,25651,12590,13743,4957,1853,3,318,47.7,"2008-01-27T06:10:49.000"
32584,36012,43871,4447,8282,1853,2,182,27.3,"2008-01-27T12:00:55.000"
25693,28120,3962,5979,1563,1853,1,106,15.9,"2008-01-27T12:33:06.000"
38793,43255,2527,16839,6415,1853,2,478,71.7,"2008-01-27T12:03:00.000"
26985,29421,39028,13609,5593,1853,1,246,36.9,"2008-01-27T01:56:29.000"
40544,45344,38726,477,2192,1853,4,972,145.8,"2008-01-27T10:00:14.000"
27197,29654,14911,2561,2864,1853,1,186,27.9,"2008-01-27T05:54:18.000"
40557,45357,42918,9751,6182,1853,1,273,40.95,"2008-01-27T10:17:01.000"
35886,39906,9866,21781,2483,1853,2,380,57,"2008-01-27T02:30:32.000"
42856,48111,1204,14735,3463,1853,1,42,6.3,"2008-01-27T04:54:18.000"
40673,45499,21562,10609,4562,1853,2,504,75.6,"2008-01-27T12:20:18.000"
45483,51178,10864,226,6386,1853,3,321,48.15,"2008-01-27T06:21:52.000"
43581,48995,20692,5028,2432,1853,4,132,19.8,"2008-01-27T06:17:38.000"
45929,51699,6502,5786,761,1853,1,141,21.15,"2008-01-27T02:40:55.000"
44683,50252,35692,18529,3315,1853,1,49,7.35,"2008-01-27T02:43:03.000"
47167,53184,4609,22107,4415,1853,2,96,14.4,"2008-01-27T03:22:16.000"
47121,53132,39002,6921,7074,1853,1,111,16.65,"2008-01-27T02:31:27.000"
52143,58842,24575,5355,4278,1853,3,390,58.5,"2008-01-27T01:42:25.000"
48706,55024,29953,9552,1080,1853,4,760,114,"2008-01-27T09:13:18.000"
54922,61886,4982,13321,134,1853,2,920,138,"2008-01-27T07:20:58.000"
54879,61834,16491,997,6510,1853,2,836,125.4,"2008-01-27T06:33:05.000"
58387,66099,11623,6655,5611,1853,1,165,24.75,"2008-01-27T01:53:30.000"
58261,65961,48243,22174,4389,1853,3,1029,154.35,"2008-01-27T01:48:58.000"
59428,67281,7063,7641,2751,1853,4,488,73.2,"2008-01-27T02:32:41.000"
60607,68660,38379,2430,2693,1853,2,678,101.7,"2008-01-27T03:18:41.000"
72755,82986,30265,11769,7423,1853,1,479,71.85,"2008-01-27T10:53:14.000"
63357,71800,32271,4442,2091,1853,1,255,38.25,"2008-01-27T05:02:36.000"
75694,86435,28179,13312,7903,1853,2,40,6,"2008-01-27T12:43:35.000"
63680,72163,27649,2162,2360,1853,4,1172,175.8,"2008-01-27T05:13:50.000"
77302,88293,7164,4965,8548,1853,1,57,8.55,"2008-01-27T10:48:20.000"
63792,72279,4871,1506,6364,1853,3,402,60.3,"2008-01-27T05:18:13.000"
80652,92059,17274,6637,3822,1853,3,879,131.85,"2008-01-27T01:48:52.000"
68371,77690,35518,6977,7094,1853,2,886,132.9,"2008-01-27T08:10:46.000"
82469,94083,20977,21977,3466,1853,2,1000,150,"2008-01-27T02:01:28.000"
70125,79739,33286,8641,6889,1853,2,54,8.1,"2008-01-27T09:14:46.000"
84433,96337,4320,18075,7269,1853,2,186,27.9,"2008-01-27T05:21:25.000"
71645,81584,36168,5051,6815,1853,1,178,26.7,"2008-01-27T10:11:16.000"
89587,102315,39810,7215,8064,1853,2,576,86.4,"2008-01-27T08:11:15.000"
72772,83014,6711,15152,3718,1853,2,314,47.1,"2008-01-27T10:53:54.000"
95393,108889,40352,5097,7177,1853,4,1276,191.4,"2008-01-27T11:57:20.000"
74026,84484,46831,16995,3337,1853,4,988,148.2,"2008-01-27T11:39:57.000"
98182,112165,47558,6729,2564,1853,1,338,50.7,"2008-01-27T11:24:36.000"
77024,88016,14361,20388,6588,1853,1,290,43.5,"2008-01-27T04:53:28.000"
99387,113627,9535,6768,3557,1853,2,488,73.2,"2008-01-27T12:55:53.000"
79892,91242,29383,7747,2710,1853,1,349,52.35,"2008-01-27T11:09:06.000"
100064,114401,23178,4668,7269,1853,2,648,97.2,"2008-01-27T04:47:37.000"
82244,93794,13250,5302,6044,1853,2,996,149.4,"2008-01-27T10:01:24.000"
103689,118612,6483,5660,7042,1853,2,962,144.3,"2008-01-27T10:53:19.000"
90162,102907,48338,3986,7644,1853,2,608,91.2,"2008-01-27T07:17:03.000"
106280,121638,45209,9207,3678,1853,2,130,19.5,"2008-01-27T01:36:07.000"
93012,106157,3712,11995,2539,1853,2,550,82.5,"2008-01-27T02:00:10.000"
111236,127404,39419,16955,8455,1853,4,1192,178.8,"2008-01-27T03:21:24.000"
95983,109570,40112,3036,3380,1853,1,309,46.35,"2008-01-27T12:14:32.000"
115036,131713,18441,10092,7116,1853,2,856,128.4,"2008-01-27T10:42:30.000"
97360,111153,16978,12027,7207,1853,2,258,38.7,"2008-01-27T06:22:41.000"
117783,134879,6835,10858,4078,1853,1,488,73.2,"2008-01-27T03:05:36.000"
97922,111864,42378,21123,5580,1853,2,734,110.1,"2008-01-27T05:51:22.000"
119410,136724,7270,8062,4509,1853,1,459,68.85,"2008-01-27T11:26:43.000"
100023,114353,23202,11365,7693,1853,1,324,48.6,"2008-01-27T03:49:32.000"
119881,137269,31423,14285,363,1853,4,1884,282.6,"2008-01-27T03:50:23.000"
110943,127081,39008,8838,1771,1853,4,1000,150,"2008-01-27T08:46:34.000"
126356,144738,40971,19109,3879,1853,1,195,29.25,"2008-01-27T06:02:06.000"
121351,138923,23264,4503,5495,1853,2,148,22.2,"2008-01-27T01:20:40.000"
126512,144925,34500,7417,8292,1853,2,754,113.1,"2008-01-27T09:54:24.000"
121965,139625,5444,13038,700,1853,1,459,68.85,"2008-01-27T06:20:08.000"
134325,155253,43139,5121,770,1853,1,88,13.2,"2008-01-27T11:04:30.000"
127824,146482,6173,6939,6182,1853,2,722,108.3,"2008-01-27T02:33:13.000"
135798,156893,14451,4794,1929,1853,2,660,99,"2008-01-27T02:31:11.000"
128640,147455,46926,9136,8449,1853,2,58,8.7,"2008-01-27T08:23:57.000"
139167,160819,21223,10961,3195,1853,2,660,99,"2008-01-27T06:00:44.000"
129044,147918,31965,12740,7593,1853,1,29,4.35,"2008-01-27T04:38:51.000"
139944,161763,48910,13042,2012,1853,2,594,89.1,"2008-01-27T09:58:04.000"
139553,161257,43160,14249,2421,1853,4,1408,211.2,"2008-01-27T01:41:27.000"
142925,165447,17357,10346,4021,1853,2,352,52.8,"2008-01-27T06:58:51.000"
144213,166926,7309,457,5703,1853,1,102,15.3,"2008-01-27T06:48:20.000"
143339,165909,24092,18946,3820,1853,4,580,87,"2008-01-27T02:32:33.000"
146794,170012,4611,6029,2121,1853,1,164,24.6,"2008-01-27T07:49:09.000"
149110,172693,40040,345,3828,1853,1,38,5.7,"2008-01-27T03:39:07.000"
150500,174195,15135,20884,1104,1853,1,45,6.75,"2008-01-27T07:21:05.000"
150946,174718,31521,22234,6763,1853,2,400,60,"2008-01-27T03:35:43.000"
151227,175046,4972,18656,2017,1853,1,85,12.75,"2008-01-27T09:33:01.000"
153777,178015,48547,22383,6096,1853,2,356,53.4,"2008-01-27T11:22:48.000"
152192,176129,33524,7725,4089,1853,4,388,58.2,"2008-01-27T04:44:26.000"
156539,181221,20145,8450,5304,1853,1,229,34.35,"2008-01-27T02:10:23.000"
154810,179225,11165,5512,6241,1853,2,502,75.3,"2008-01-27T06:09:32.000"
158095,207740,28629,15050,3993,1853,4,6732,1009.8,"2008-01-27T07:35:24.000"
156535,181217,33794,10758,3709,1853,4,1364,204.6,"2008-01-27T02:08:33.000"
159401,210767,38038,9817,930,1853,1,1593,238.95,"2008-01-27T09:01:18.000"
164047,219400,42489,4720,3862,1853,1,1225,183.75,"2008-01-27T01:59:31.000"
163476,218371,37417,3895,2294,1853,1,2220,333,"2008-01-27T03:43:26.000"
167163,225386,31389,22194,4643,1853,1,350,52.5,"2008-01-27T01:16:35.000"
163477,218371,37417,3698,2294,1853,3,6660,999,"2008-01-27T03:44:11.000"
1204,1253,32913,13882,4486,1853,4,340,51,"2008-01-27T01:15:26.000"
164319,219876,34982,4260,3192,1853,2,4782,717.3,"2008-01-27T07:26:38.000"
1391,1477,26200,2703,7704,1853,1,53,7.95,"2008-01-27T02:18:14.000"
164510,220231,34061,12222,6104,1853,2,2286,342.9,"2008-01-27T11:02:32.000"
3953,4258,40561,10541,6561,1853,1,205,30.75,"2008-01-27T01:07:55.000"
171133,233006,28098,20139,1119,1853,4,3988,598.2,"2008-01-27T01:38:16.000"
4854,5216,3670,7734,1491,1853,1,241,36.15,"2008-01-27T11:41:13.000"
8977,9690,27286,17210,3709,1853,3,183,27.45,"2008-01-27T10:42:39.000"
10194,11124,8901,20591,7517,1853,2,496,74.4,"2008-01-27T05:20:21.000"
14540,15714,23666,16782,1670,1853,1,91,13.65,"2008-01-27T12:04:11.000"
15463,16729,14856,10159,691,1853,4,768,115.2,"2008-01-27T08:06:19.000"
17803,19319,24730,6195,1281,1853,2,310,46.5,"2008-01-27T07:56:36.000"
23131,25201,46728,11703,3091,1853,3,474,71.1,"2008-01-27T11:42:58.000"
24420,26746,17652,537,7177,1853,1,157,23.55,"2008-01-27T11:41:45.000"
27791,30326,22726,351,4124,1853,1,248,37.2,"2008-01-27T05:00:52.000"
31863,35198,45702,13893,6206,1853,4,584,87.6,"2008-01-27T10:28:39.000"
34303,37966,31673,683,5309,1853,4,236,35.4,"2008-01-27T07:14:29.000"
35987,40048,35809,20407,2703,1853,4,104,15.6,"2008-01-27T04:29:49.000"
36888,41076,31901,1862,1062,1853,2,380,57,"2008-01-27T11:02:26.000"
37601,41885,22605,1597,3531,1853,1,173,25.95,"2008-01-27T12:24:00.000"
38092,42466,41780,17192,4389,1853,2,596,89.4,"2008-01-27T10:09:03.000"
38792,43254,14380,20970,7517,1853,4,664,99.6,"2008-01-27T12:02:14.000"
40376,45173,11535,8764,4231,1853,4,824,123.6,"2008-01-27T06:49:30.000"
43576,48992,5144,8370,3820,1853,2,86,12.9,"2008-01-27T06:13:59.000"
44415,49930,6312,18793,7942,1853,2,264,39.6,"2008-01-27T09:56:44.000"
48299,54593,16049,15386,6904,1853,1,299,44.85,"2008-01-27T01:00:32.000"
48798,55108,19731,17909,4598,1853,1,161,24.15,"2008-01-27T10:51:50.000"
51026,57542,19540,3874,6583,1853,2,322,48.3,"2008-01-27T04:42:06.000"
52209,58916,8897,18342,2216,1853,2,998,149.7,"2008-01-27T03:07:48.000"
55896,63056,9834,21932,7074,1853,2,46,6.9,"2008-01-27T04:03:41.000"
56358,63624,23488,18540,8298,1853,2,214,32.1,"2008-01-27T01:08:27.000"
57598,65170,15633,2585,6772,1853,4,1160,174,"2008-01-27T01:24:27.000"
57791,65420,29983,11825,548,1853,4,788,118.2,"2008-01-27T01:31:04.000"
59865,67786,22290,21419,4695,1853,3,1068,160.2,"2008-01-27T02:49:17.000"
61922,70174,1931,17302,6415,1853,4,256,38.4,"2008-01-27T04:09:36.000"
62428,70803,49714,4130,8656,1853,6,1218,182.7,"2008-01-27T04:28:23.000"
63452,71899,18075,6729,7839,1853,1,40,6,"2008-01-27T05:06:01.000"
66953,76003,47177,11802,1668,1853,1,277,41.55,"2008-01-27T07:17:26.000"
67331,76447,29538,1489,2143,1853,2,320,48,"2008-01-27T07:32:19.000"
68317,77634,42186,19864,2026,1853,1,100,15,"2008-01-27T08:09:01.000"
73549,83921,11466,7563,6849,1853,3,849,127.35,"2008-01-27T11:22:33.000"
74388,84890,49808,7570,1085,1853,2,894,134.1,"2008-01-27T11:54:56.000"
74606,85150,10995,6417,2683,1853,3,192,28.8,"2008-01-27T12:03:49.000"
75935,86727,46392,6093,7096,1853,2,474,71.1,"2008-01-27T12:52:53.000"
76683,87609,31392,16383,5169,1853,1,375,56.25,"2008-01-27T10:10:03.000"
76684,87609,31392,15970,5169,1853,2,750,112.5,"2008-01-27T10:10:57.000"
79055,90265,42739,7593,5571,1853,1,473,70.95,"2008-01-27T07:40:03.000"
83414,95113,12936,17383,5011,1853,4,1648,247.2,"2008-01-27T08:13:47.000"
84523,96447,45885,14623,7119,1853,2,340,51,"2008-01-27T07:07:43.000"
86195,98397,7401,481,726,1853,4,1476,221.4,"2008-01-27T04:40:25.000"
91116,103980,36230,8008,2564,1853,2,798,119.7,"2008-01-27T02:03:39.000"
92332,105380,31765,21740,1221,1853,2,62,9.3,"2008-01-27T12:46:27.000"
98209,112201,14497,9227,7036,1853,2,872,130.8,"2008-01-27T11:55:27.000"
99336,113558,10821,12946,6975,1853,2,956,143.4,"2008-01-27T11:40:10.000"
103836,118783,36689,7871,1850,1853,1,58,8.7,"2008-01-27T02:35:39.000"
109854,125762,13952,2554,8214,1853,2,294,44.1,"2008-01-27T03:13:16.000"
115538,132281,10581,1464,8578,1853,2,142,21.3,"2008-01-27T02:15:10.000"
122563,140290,43904,14175,8545,1853,2,240,36,"2008-01-27T09:40:40.000"
122984,140801,47620,8040,6052,1853,2,632,94.8,"2008-01-27T08:31:09.000"
124058,142059,5188,15437,7514,1853,2,478,71.7,"2008-01-27T11:54:48.000"
131270,151584,19784,18001,1480,1853,2,626,93.9,"2008-01-27T01:32:27.000"
134672,155636,36126,13260,7923,1853,2,840,126,"2008-01-27T06:02:13.000"
141582,163772,18339,7107,910,1853,2,312,46.8,"2008-01-27T04:44:28.000"
148419,171907,45880,4509,3678,1853,2,922,138.3,"2008-01-27T01:50:53.000"
150315,173969,48680,22468,8762,1853,3,1032,154.8,"2008-01-27T03:50:15.000"
158458,208456,33885,562,3781,1853,1,2315,347.25,"2008-01-27T02:38:35.000"
162347,216313,36423,22234,3700,1853,1,617,92.55,"2008-01-27T06:05:12.000"
164696,220642,31064,264,8477,1853,1,1891,283.65,"2008-01-27T02:48:28.000"
167777,226562,33040,20946,4991,1853,1,2497,374.55,"2008-01-27T01:34:01.000"
168935,228758,44274,2012,3002,1853,2,932,139.8,"2008-01-27T01:25:09.000"
170156,231121,17183,18812,6163,1853,1,1449,217.35,"2008-01-27T01:01:44.000"
170482,231754,48109,1461,4689,1853,1,1529,229.35,"2008-01-27T01:13:14.000"
170500,231787,16485,15530,6772,1853,2,2740,411,"2008-01-27T01:14:04.000"
171083,232912,47373,1186,692,1853,1,1487,223.05,"2008-01-27T01:36:14.000"
5611,6060,5882,7409,4973,1854,2,390,58.5,"2008-01-28T02:02:11.000"
328,328,8489,9899,3552,1854,1,181,27.15,"2008-01-28T10:13:32.000"
5954,6479,5902,21972,6028,1854,2,306,45.9,"2008-01-28T01:21:38.000"
519,525,15304,7889,4924,1854,1,124,18.6,"2008-01-28T09:11:54.000"
6056,6582,24101,16184,2294,1854,1,72,10.8,"2008-01-28T05:10:27.000"
520,525,15304,7888,4924,1854,2,248,37.2,"2008-01-28T09:12:17.000"
6057,6582,24101,15875,2294,1854,3,216,32.4,"2008-01-28T05:13:10.000"
1526,1613,33523,4104,5798,1854,2,80,12,"2008-01-28T01:43:37.000"
12833,13835,43441,10780,3759,1854,1,119,17.85,"2008-01-28T10:01:48.000"
6881,7461,40808,4219,181,1854,1,59,8.85,"2008-01-28T09:14:21.000"
21138,23021,13174,19881,302,1854,1,53,7.95,"2008-01-28T10:32:36.000"
6944,7541,26824,3180,4160,1854,2,498,74.7,"2008-01-28T11:37:45.000"
21341,23268,24221,10023,2563,1854,2,104,15.6,"2008-01-28T02:37:49.000"
7042,7643,29141,14602,2156,1854,3,495,74.25,"2008-01-28T02:46:03.000"
21454,23374,46553,20319,4113,1854,3,381,57.15,"2008-01-28T04:46:45.000"
13551,14684,3807,11631,7558,1854,2,190,28.5,"2008-01-28T02:36:14.000"
22234,24122,37466,9212,5125,1854,1,93,13.95,"2008-01-28T07:41:16.000"
15139,16373,25297,15834,6900,1854,4,356,53.4,"2008-01-28T01:09:13.000"
25086,27474,13400,15879,1553,1854,3,189,28.35,"2008-01-28T12:18:50.000"
20562,22311,1110,19760,8429,1854,1,24,3.6,"2008-01-28T11:57:42.000"
25308,27692,42688,2497,4224,1854,4,632,94.8,"2008-01-28T04:40:27.000"
29545,32389,3995,20977,363,1854,2,106,15.9,"2008-01-28T02:54:28.000"
25318,27707,28924,5335,5459,1854,1,238,35.7,"2008-01-28T04:58:41.000"
31207,34378,43525,4369,985,1854,4,924,138.6,"2008-01-28T09:45:07.000"
28427,31042,28542,730,5011,1854,2,422,63.3,"2008-01-28T04:50:19.000"
33122,36596,17654,6976,5624,1854,2,444,66.6,"2008-01-28T10:12:12.000"
33431,36942,6092,15023,4525,1854,4,480,72,"2008-01-28T04:04:20.000"
33773,37364,34403,19897,470,1854,3,942,141.3,"2008-01-28T10:01:23.000"
33559,37090,43817,21908,8328,1854,1,153,22.95,"2008-01-28T06:20:00.000"
35294,39171,5182,5253,1477,1854,2,502,75.3,"2008-01-28T02:38:19.000"
33618,37160,29131,15475,4627,1854,2,350,52.5,"2008-01-28T07:34:37.000"
37336,41582,34129,12,1434,1854,1,36,5.4,"2008-01-28T07:22:02.000"
37483,41765,28464,7094,8490,1854,2,56,8.4,"2008-01-28T09:57:57.000"
39879,44530,6506,1983,838,1854,1,142,21.3,"2008-01-28T09:14:15.000"
40071,44780,23831,9774,3534,1854,1,276,41.4,"2008-01-28T01:12:17.000"
40617,45435,46960,23076,1538,1854,2,370,55.5,"2008-01-28T11:27:24.000"
40320,45088,37083,19544,2060,1854,1,173,25.95,"2008-01-28T05:48:44.000"
42988,48245,15698,6572,2932,1854,1,47,7.05,"2008-01-28T07:34:49.000"
43699,49114,38164,11321,3291,1854,4,1068,160.2,"2008-01-28T08:42:49.000"
43320,48671,46200,18597,5598,1854,1,42,6.3,"2008-01-28T01:03:18.000"
44122,49601,10435,3927,7346,1854,2,88,13.2,"2008-01-28T04:08:45.000"
44193,49687,4112,11369,7785,1854,1,214,32.1,"2008-01-28T05:28:32.000"
52906,59715,37535,5099,1905,1854,2,340,51,"2008-01-28T04:24:13.000"
45737,51479,29100,10829,4231,1854,1,137,20.55,"2008-01-28T11:08:12.000"
53565,60425,43203,6907,1330,1854,1,489,73.35,"2008-01-28T05:39:57.000"
47319,53361,30053,13925,8545,1854,1,277,41.55,"2008-01-28T06:19:12.000"
60248,68212,49977,2266,4754,1854,2,762,114.3,"2008-01-28T03:04:03.000"
50897,57416,15945,406,4194,1854,1,237,35.55,"2008-01-28T02:17:40.000"
65190,73937,9626,6163,4382,1854,2,386,57.9,"2008-01-28T06:11:19.000"
51138,57663,1985,22725,2874,1854,2,362,54.3,"2008-01-28T07:05:56.000"
68074,77304,32829,20230,7638,1854,1,378,56.7,"2008-01-28T08:00:25.000"
51371,57951,195,5111,6306,1854,1,130,19.5,"2008-01-28T11:29:42.000"
68331,77655,37895,13995,5462,1854,2,62,9.3,"2008-01-28T08:09:31.000"
51402,57983,7924,16104,7676,1854,2,640,96,"2008-01-28T12:01:38.000"
68509,77866,27689,3766,5598,1854,1,457,68.55,"2008-01-28T08:15:38.000"
53253,60069,12644,20754,7942,1854,3,1146,171.9,"2008-01-28T11:30:49.000"
70988,80749,42314,8006,1438,1854,2,292,43.8,"2008-01-28T09:46:17.000"
55863,63024,4058,8054,7839,1854,2,826,123.9,"2008-01-28T03:17:56.000"
72511,82680,11913,8075,452,1854,1,200,30,"2008-01-28T10:43:53.000"
56454,63757,16250,22746,3879,1854,1,298,44.7,"2008-01-28T02:48:50.000"
73737,84160,27768,6810,979,1854,4,1352,202.8,"2008-01-28T11:29:33.000"
59676,67562,6017,17311,934,1854,1,421,63.15,"2008-01-28T02:42:13.000"
77532,88523,44546,1502,722,1854,1,102,15.3,"2008-01-28T02:47:52.000"
61458,69625,1910,6761,4735,1854,1,146,21.9,"2008-01-28T03:50:48.000"
79808,91157,38135,3417,102,1854,2,594,89.1,"2008-01-28T09:09:57.000"
62121,70425,22022,22080,7593,1854,1,358,53.7,"2008-01-28T04:16:48.000"
87981,100481,31067,3040,7,1854,3,621,93.15,"2008-01-28T02:15:06.000"
66282,75203,26824,1375,911,1854,4,360,54,"2008-01-28T06:53:43.000"
88769,101400,17618,5487,4100,1854,2,620,93,"2008-01-28T04:32:56.000"
70890,80616,27593,8224,649,1854,2,180,27,"2008-01-28T09:42:54.000"
89791,102535,19518,8730,6742,1854,1,230,34.5,"2008-01-28T11:59:24.000"
71218,81011,40414,643,7460,1854,1,54,8.1,"2008-01-28T09:55:14.000"
91089,103940,45023,13017,5495,1854,2,258,38.7,"2008-01-28T01:29:10.000"
76743,87694,27101,5558,1611,1854,2,228,34.2,"2008-01-28T11:30:19.000"
97986,111934,40086,1973,8432,1854,4,1908,286.2,"2008-01-28T07:14:09.000"
77307,88298,23953,10610,7872,1854,1,120,18,"2008-01-28T10:56:47.000"
101431,115977,9939,11435,5090,1854,1,236,35.4,"2008-01-28T01:18:41.000"
77795,88834,21340,19020,7593,1854,2,142,21.3,"2008-01-28T07:31:55.000"
104490,119526,10631,3501,146,1854,1,253,37.95,"2008-01-28T09:44:36.000"
79399,90684,39167,18428,2197,1854,4,1332,199.8,"2008-01-28T01:43:36.000"
108753,124508,35135,1466,6904,1854,3,1305,195.75,"2008-01-28T03:41:41.000"
79850,91207,15920,20546,683,1854,3,1005,150.75,"2008-01-28T10:24:15.000"
109117,124932,49557,258,6845,1854,1,291,43.65,"2008-01-28T06:03:08.000"
79883,91235,25432,12190,7984,1854,1,101,15.15,"2008-01-28T11:02:31.000"
111323,127508,9690,23188,4155,1854,3,963,144.45,"2008-01-28T10:01:35.000"
80730,92119,14447,5494,3181,1854,3,537,80.55,"2008-01-28T03:28:48.000"
111788,128055,43497,13243,730,1854,2,162,24.3,"2008-01-28T04:23:26.000"
80733,92119,14447,5475,3181,1854,4,716,107.4,"2008-01-28T03:35:41.000"
113785,130322,3947,11359,3158,1854,4,1276,191.4,"2008-01-28T08:47:12.000"
83308,94960,24984,14290,4155,1854,1,178,26.7,"2008-01-28T06:08:40.000"
115558,132311,33134,13875,1309,1854,4,1876,281.4,"2008-01-28T03:26:29.000"
87587,100031,11852,16014,2017,1854,2,554,83.1,"2008-01-28T06:36:53.000"
115690,132463,38126,7653,6900,1854,1,418,62.7,"2008-01-28T10:49:53.000"
88596,101218,29052,2665,8659,1854,2,656,98.4,"2008-01-28T01:25:55.000"
117265,134272,11725,7184,6132,1854,1,193,28.95,"2008-01-28T06:58:28.000"
90063,102804,28715,4275,743,1854,3,894,134.1,"2008-01-28T05:08:15.000"
118580,135817,27315,11143,2776,1854,1,105,15.75,"2008-01-28T07:20:05.000"
90093,102835,10209,6162,1272,1854,2,606,90.9,"2008-01-28T05:51:28.000"
123301,141149,24015,4543,654,1854,1,180,27,"2008-01-28T03:48:49.000"
91789,104734,1901,4067,4720,1854,1,209,31.35,"2008-01-28T02:31:46.000"
125180,143351,30412,21848,4124,1854,4,1876,281.4,"2008-01-28T03:12:40.000"
91947,104922,31484,22969,6977,1854,2,142,21.3,"2008-01-28T05:29:10.000"
127395,145944,30606,7315,920,1854,4,196,29.4,"2008-01-28T04:50:29.000"
95193,108670,36544,21422,4525,1854,2,870,130.5,"2008-01-28T08:10:12.000"
128166,146911,1528,1891,4188,1854,4,1804,270.6,"2008-01-28T10:26:00.000"
96405,110055,19482,21771,2699,1854,1,156,23.4,"2008-01-28T09:47:15.000"
131201,150480,42610,3544,1628,1854,1,369,55.35,"2008-01-28T12:25:01.000"
105092,120243,6864,6481,4831,1854,3,1380,207,"2008-01-28T03:23:53.000"
133441,154156,11426,14090,8580,1854,1,466,69.9,"2008-01-28T06:32:52.000"
106293,121645,31646,8218,1135,1854,1,372,55.8,"2008-01-28T01:55:32.000"
141034,163094,27719,15701,2400,1854,2,530,79.5,"2008-01-28T06:31:34.000"
115223,131902,33550,2591,4805,1854,1,108,16.2,"2008-01-28T09:02:55.000"
141617,163821,73,14338,213,1854,2,594,89.1,"2008-01-28T05:15:33.000"
117425,134444,12744,3271,4829,1854,2,654,98.1,"2008-01-28T01:56:53.000"
144720,167531,27539,6156,1272,1854,3,1020,153,"2008-01-28T04:40:59.000"
129739,148796,8044,2042,5796,1854,1,479,71.85,"2008-01-28T07:21:07.000"
147958,171329,35775,22894,1106,1854,1,139,20.85,"2008-01-28T04:58:30.000"
135135,156148,7307,20560,4830,1854,4,1876,281.4,"2008-01-28T02:32:46.000"
149072,172660,24902,7413,962,1854,1,144,21.6,"2008-01-28T02:55:51.000"
135440,156467,44369,11679,181,1854,2,916,137.4,"2008-01-28T08:18:57.000"
150740,174460,22534,10626,2097,1854,1,431,64.65,"2008-01-28T11:52:45.000"
137040,158289,44939,19603,4480,1854,1,198,29.7,"2008-01-28T01:19:19.000"
152160,176077,4002,13587,5676,1854,2,626,93.9,"2008-01-28T04:02:47.000"
137883,159269,17471,22743,1281,1854,2,982,147.3,"2008-01-28T05:19:05.000"
154629,179029,24337,4784,6782,1854,2,364,54.6,"2008-01-28T02:44:45.000"
138517,160027,38635,7155,1805,1854,2,100,15,"2008-01-28T05:30:53.000"
156401,181047,41121,15499,7304,1854,1,424,63.6,"2008-01-28T11:34:20.000"
140227,162123,175,11723,4525,1854,2,890,133.5,"2008-01-28T03:13:03.000"
156864,205234,4228,2145,4953,1854,3,5913,886.95,"2008-01-28T08:42:16.000"
141531,163708,21549,17657,6158,1854,3,1080,162,"2008-01-28T03:42:41.000"
158650,208837,27986,21336,2754,1854,1,2241,336.15,"2008-01-28T06:23:37.000"
142815,165302,21936,11222,4695,1854,2,280,42,"2008-01-28T04:48:04.000"
159153,209798,13300,8964,1930,1854,1,1760,264,"2008-01-28T03:43:19.000"
147298,170566,7960,5367,3772,1854,2,278,41.7,"2008-01-28T04:10:28.000"
160137,212097,1689,1100,8580,1854,4,7228,1084.2,"2008-01-28T11:52:46.000"
147357,170645,41040,6336,1808,1854,3,1221,183.15,"2008-01-28T05:16:05.000"
160338,212434,27089,11683,3674,1854,1,520,78,"2008-01-28T03:30:44.000"
